client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,date_column
4152,34.0,blue-collar,married,basic.6y,no,yes,may,11.0,1622.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-11
4164,52.0,services,married,high.school,unknown,yes,may,5.0,967.0,6.0,0.0,nonexistent,93.994,4.858,yes,2024-05-05
4167,52.0,services,divorced,high.school,no,no,may,10.0,579.0,5.0,0.0,nonexistent,93.994,4.858,yes,2024-05-10
4209,33.0,technician,divorced,professional.course,no,no,may,26.0,1218.0,3.0,0.0,nonexistent,93.994,4.858,yes,2024-05-26
4252,32.0,services,single,basic.6y,no,no,may,18.0,1205.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-18
4264,31.0,blue-collar,single,high.school,no,no,may,1.0,1882.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-01
4268,47.0,blue-collar,married,unknown,unknown,no,may,1.0,1334.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-01
4294,53.0,blue-collar,married,basic.4y,unknown,no,may,9.0,182.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-09
4353,35.0,services,single,basic.4y,no,yes,may,14.0,1777.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-14
4479,58.0,retired,married,basic.4y,unknown,no,may,2.0,1045.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-02
4485,39.0,blue-collar,single,basic.9y,no,no,may,15.0,650.0,3.0,0.0,nonexistent,93.994,4.856,yes,2024-05-15
4522,27.0,blue-collar,married,basic.6y,unknown,unknown,may,18.0,1063.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-18
4609,42.0,admin.,married,high.school,no,no,may,25.0,1392.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-25
4623,55.0,technician,married,high.school,no,yes,may,15.0,719.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-15
4635,49.0,housemaid,married,basic.4y,unknown,no,may,28.0,801.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-28
4652,42.0,admin.,single,university.degree,no,yes,may,5.0,938.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-05
4672,45.0,admin.,single,professional.course,no,yes,may,12.0,565.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-12
4677,59.0,retired,married,professional.course,unknown,no,may,12.0,905.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-12
4694,54.0,blue-collar,married,basic.9y,unknown,no,may,28.0,783.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-28
4720,55.0,technician,married,basic.9y,unknown,yes,may,5.0,958.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-05
4737,30.0,admin.,single,university.degree,no,no,may,23.0,819.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-23
4752,35.0,technician,single,university.degree,no,yes,may,10.0,412.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-10
4769,31.0,blue-collar,married,basic.6y,no,no,may,14.0,795.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-14
4793,36.0,admin.,single,professional.course,no,yes,may,23.0,828.0,4.0,0.0,nonexistent,93.994,4.858,yes,2024-05-23
4851,46.0,housemaid,married,basic.4y,no,no,may,2.0,506.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-02
4872,32.0,technician,single,university.degree,unknown,no,may,7.0,857.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-07
4880,25.0,blue-collar,single,basic.4y,no,yes,may,26.0,1681.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-26
4899,45.0,admin.,divorced,university.degree,no,no,may,30.0,681.0,3.0,0.0,nonexistent,93.994,4.858,yes,2024-05-30
4902,56.0,entrepreneur,married,university.degree,no,no,may,17.0,1697.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-17
4904,30.0,admin.,single,high.school,no,no,may,15.0,860.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-15
4982,44.0,blue-collar,divorced,unknown,no,yes,may,11.0,799.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-11
5007,32.0,blue-collar,married,basic.9y,no,no,may,27.0,923.0,3.0,0.0,nonexistent,93.994,4.858,yes,2024-05-27
5027,37.0,services,married,high.school,no,yes,may,25.0,521.0,3.0,0.0,nonexistent,93.994,4.858,yes,2024-05-25
5056,58.0,admin.,divorced,university.degree,no,yes,may,5.0,628.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-05
5073,35.0,services,married,high.school,no,no,may,1.0,1349.0,5.0,0.0,nonexistent,93.994,4.857,yes,2024-05-01
5084,49.0,technician,married,professional.course,no,no,may,2.0,736.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-02
5107,38.0,technician,married,basic.6y,unknown,no,may,9.0,785.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-09
5112,22.0,blue-collar,single,basic.6y,unknown,no,may,31.0,1073.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-31
5162,47.0,blue-collar,married,basic.6y,no,yes,may,22.0,600.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-22
5174,55.0,retired,married,high.school,no,no,may,11.0,924.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-11
5329,50.0,technician,married,high.school,no,yes,may,10.0,893.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-10
5347,32.0,admin.,single,university.degree,no,no,may,21.0,588.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-21
5363,33.0,services,single,high.school,no,no,may,26.0,777.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-26
5384,60.0,retired,married,high.school,unknown,yes,may,12.0,597.0,6.0,0.0,nonexistent,93.994,4.857,yes,2024-05-12
5415,46.0,blue-collar,married,basic.4y,no,yes,may,28.0,1392.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-28
5435,39.0,technician,single,professional.course,no,no,may,27.0,1059.0,5.0,0.0,nonexistent,93.994,4.857,yes,2024-05-27
5442,39.0,services,married,high.school,no,yes,may,21.0,430.0,6.0,0.0,nonexistent,93.994,4.857,yes,2024-05-21
5550,33.0,blue-collar,single,basic.9y,unknown,no,may,31.0,788.0,11.0,0.0,nonexistent,93.994,4.857,yes,2024-05-31
5613,56.0,blue-collar,married,professional.course,no,yes,may,29.0,621.0,4.0,0.0,nonexistent,93.994,4.857,yes,2024-05-29
5619,58.0,admin.,single,university.degree,no,no,may,16.0,543.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-16
5636,44.0,management,single,university.degree,unknown,yes,may,15.0,745.0,4.0,0.0,nonexistent,93.994,4.857,yes,2024-05-15
5638,29.0,student,single,high.school,no,no,may,19.0,630.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-19
5652,41.0,services,married,high.school,unknown,yes,may,31.0,679.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-31
5699,58.0,admin.,single,university.degree,no,no,may,16.0,1234.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-16
5707,43.0,entrepreneur,married,high.school,no,yes,may,10.0,642.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-10
5731,41.0,unemployed,married,basic.9y,unknown,yes,may,6.0,895.0,4.0,0.0,nonexistent,93.994,4.857,yes,2024-05-06
5780,39.0,management,married,university.degree,no,no,may,23.0,431.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-23
5784,25.0,blue-collar,married,high.school,unknown,yes,may,3.0,741.0,6.0,0.0,nonexistent,93.994,4.857,yes,2024-05-03
5818,38.0,self-employed,single,university.degree,no,no,may,17.0,414.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-17
5850,52.0,blue-collar,married,basic.4y,unknown,yes,may,21.0,748.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-21
5852,28.0,entrepreneur,married,basic.9y,no,no,may,25.0,896.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-25
5863,24.0,admin.,married,basic.9y,no,yes,may,24.0,764.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-24
5948,45.0,services,divorced,unknown,no,yes,may,2.0,1063.0,5.0,0.0,nonexistent,93.994,4.857,yes,2024-05-02
5978,42.0,services,married,professional.course,no,yes,may,10.0,1205.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-10
5998,29.0,technician,single,university.degree,no,yes,may,22.0,1051.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-22
6018,34.0,blue-collar,married,basic.9y,no,no,may,18.0,740.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-18
6104,47.0,admin.,married,high.school,no,no,may,26.0,731.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-26
6143,31.0,blue-collar,married,basic.9y,no,no,may,22.0,935.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-22
6164,39.0,management,single,university.degree,no,yes,may,7.0,751.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-07
6213,52.0,management,married,professional.course,no,yes,may,14.0,709.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-14
6280,30.0,self-employed,married,basic.9y,no,no,may,9.0,3094.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-09
6362,45.0,blue-collar,married,basic.6y,unknown,no,may,28.0,858.0,6.0,0.0,nonexistent,93.994,4.857,yes,2024-05-28
6433,52.0,admin.,divorced,university.degree,no,yes,may,21.0,938.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-21
6466,34.0,blue-collar,single,basic.9y,unknown,no,may,23.0,576.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-23
6520,57.0,blue-collar,divorced,basic.9y,no,yes,may,11.0,543.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-11
6531,34.0,blue-collar,married,basic.9y,no,yes,may,30.0,1479.0,4.0,0.0,nonexistent,93.994,4.857,yes,2024-05-30
6585,40.0,admin.,married,university.degree,no,yes,may,18.0,615.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-18
6605,50.0,services,married,basic.4y,unknown,yes,may,7.0,507.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-07
6606,33.0,blue-collar,married,basic.6y,no,no,may,2.0,1183.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-02
6629,25.0,unemployed,single,high.school,unknown,no,may,5.0,694.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-05
6648,54.0,technician,married,professional.course,no,no,may,3.0,796.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-03
6662,33.0,admin.,married,university.degree,no,no,may,4.0,664.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-04
6678,41.0,management,married,basic.6y,no,yes,may,21.0,648.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-21
6695,53.0,technician,married,professional.course,unknown,no,may,19.0,864.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-19
6738,54.0,retired,married,basic.4y,unknown,no,may,31.0,1730.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-31
6762,30.0,management,single,university.degree,no,no,may,5.0,691.0,5.0,0.0,nonexistent,93.994,4.857,yes,2024-05-05
6860,59.0,retired,married,professional.course,no,no,may,2.0,560.0,9.0,0.0,nonexistent,93.994,4.857,yes,2024-05-02
6901,39.0,admin.,married,university.degree,no,yes,may,5.0,543.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-05
6937,40.0,technician,married,basic.9y,unknown,yes,may,1.0,539.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-01
6959,28.0,entrepreneur,married,basic.9y,unknown,yes,may,26.0,733.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-26
6967,38.0,technician,divorced,professional.course,no,yes,may,1.0,1093.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-01
6982,34.0,services,married,high.school,no,no,may,17.0,791.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-17
7009,37.0,unemployed,married,professional.course,unknown,no,may,25.0,746.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-25
7055,31.0,admin.,divorced,high.school,no,no,may,20.0,1207.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-20
7095,31.0,blue-collar,married,basic.9y,no,no,may,31.0,535.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-31
